관광지명,주소,엘리베이터,장애인주차구역,장애인 이용가능시설,경사로,관광안내소,장애인화장실,휠체어대여소,음식점,입식테이블,휠체어 리프트,카테고리,위도,경도,사진
경찰역사체험관,대구광역시 중구 경상감영길 55(대구중부경찰서 내),,,있음,있음,,,,,,,박물관,35.871797,128.590473,https://velog.velcdn.com/images/kiw0n/post/44f818e4-eb5b-4aea-8729-92a82c572920/image.jpeg
향촌문화관,대구광역시 중구 중앙대로 449,있음,,있음,있음,있음,있음,있음,,,,박물관,35.8734081,128.5941862,https://velog.velcdn.com/images/kiw0n/post/a101fe70-915e-4dca-ab23-f2a7022a884c/image.jpeg
대구콘서트하우스,대구광역시 중구 태평로 141,있음,있음,있음,있음,,있음,,,,,공연예술극장,35.876059,128.5936972,https://velog.velcdn.com/images/kiw0n/post/9295d48f-6b88-48fe-8c45-28a1aedd5323/image.jpeg
희움일본군 '위안부' 역사관,대구광역시 중구 경상감영길 50,있음,,있음,,,있음,,,,,박물관,35.8713493,128.5902202,https://velog.velcdn.com/images/kiw0n/post/0a5ca714-a3b8-496f-8476-c65453076756/image.jpeg
대구삼성라이온즈파크,대구광역시 수성구 야구전설로 1,있음,있음,있음,있음,있음,있음,,,,,스포츠 시설,35.84112892,128.6812364,https://velog.velcdn.com/images/kiw0n/post/598add43-8ee5-43c6-831c-64781d279527/image.jpeg
계명대학교,대구광역시 달서구 달구벌대로 1095,,있음,있음,있음,,,,,,,학교,35.8559056,128.484579,https://velog.velcdn.com/images/kiw0n/post/020ac5d9-e898-4f73-aa79-8ee1a0a5c23b/image.jpeg
칠성시장,대구광역시 북구 칠성동1가 276,,,있음,,,,,,,,시장,35.876422,128.6045911,https://velog.velcdn.com/images/kiw0n/post/aee8d59a-cd00-4841-ac1a-474a8fa52b38/image.jpeg
망우당공원,대구광역시 동구 효목1동 산 234-35,,,있음,있음,있음,있음,,,,,공원,35.87753874,128.6569075,https://velog.velcdn.com/images/kiw0n/post/4a13ddec-d3d1-4711-96d7-41e06d708920/image.jpeg
들안길먹거리타운,"대구광역시 수성구 상동, 두산동 일대",,,있음,있음,,,,있음,있음,,명소,35.830645,128.6203657,https://velog.velcdn.com/images/optimusprimee/post/177b985f-5d93-4282-bd6c-4555c6f3c45b/image.jpg
용연사,대구광역시 달성군 옥표면 용연사길 260,,,,,있음,있음,,,,,사찰,35.7468062,128.5260136,https://velog.velcdn.com/images/optimusprimee/post/2a8bc5f4-7fc5-44e2-b1f0-b06ff8944614/image.jpg
평화시장,대구광역시 동구 아양로9길 10,,있음,있음,있음,,,,있음,,,시장,35.88300569,128.6192564,https://velog.velcdn.com/images/kiw0n/post/bf6d95c3-f227-4a2e-8c96-ff8eabcbd0b9/image.jpeg
아양기찻길,대구광역시 동구 해동로 82(지저동 930),,,있음,있음,,,,,,,명소,35.89030673,128.6383136,https://velog.velcdn.com/images/kiw0n/post/d8ecbfc0-e02a-4b82-94de-182ab940106b/image.jpeg
신천,대구광역시 달성군 용계동 ~ 북구 침산동,,,있음,있음,,,,,,,명소,35.8942836,128.5883215,https://velog.velcdn.com/images/kiw0n/post/b04132f5-8626-4801-9e52-6958071bdda9/image.jpeg
화원동산,대구광역시 달성군 화원읍 사문진로1길 40-12,,있음,있음,있음,,있음,,,,,공원,35.81105363,128.4786586,https://velog.velcdn.com/images/optimusprimee/post/836419fe-6ab2-4c02-937c-790ecb238733/image.jpg
파계사,대구광역시 동구 파계로 741,,있음,있음,있음,,,,,,,사찰,36.00629059,128.6365903,https://velog.velcdn.com/images/kiw0n/post/a64f9dfc-ffac-4e83-98be-ab90541186f0/image.jpeg
E-world,대구광역시 달서구 두류공원로 200,,있음,있음,있음,,있음,있음,있음,,,테마파크,35.85485542,128.564821,https://velog.velcdn.com/images/kiw0n/post/ad01ad7c-5a85-4932-9fd5-509ab5a11740/image.jpeg
롯데아울렛 이시아폴리스,대구광역시 동구 팔공로49길 16,있음,있음,있음,있음,,있음,,,,,백화점,35.92154833,128.6373571,https://velog.velcdn.com/images/kiw0n/post/05dcf13f-bd2b-4ab9-8787-37405f3ec873/image.jpeg
옻골마을(경주최씨종가),대구광역시 동구 옻골로 167,,,있음,있음,,,,,,,명소,35.90484806,128.6858094,https://velog.velcdn.com/images/kiw0n/post/c071c336-bcf0-4175-9f78-41b6e331936d/image.jpeg
앞산공원,대구광역시 남구 대명9동 산 227-1,,있음,,,,있음,,,,,공원,35.82004398,128.5824961,https://velog.velcdn.com/images/kiw0n/post/ea3c1676-c259-4c0e-aa74-4dfeda05e0f9/image.jpeg
서문시장,대구광역시 중구 큰장로 26길 45,,,있음,있음,,있음,,,,,시장,35.86890721,128.5807718,https://velog.velcdn.com/images/kiw0n/post/a5808339-182f-4c79-afd2-63ced3083d1e/image.jpeg
봉무레포츠공원,대구광역시 동구 팔공로50길 66,,있음,있음,있음,,있음,,,,,공원,35.92195919,128.6501799,https://velog.velcdn.com/images/kiw0n/post/5282c932-24d7-4e3f-91cc-7b610204c905/image.jpeg
